name,qid,measure,value
reference,54,nDCG(dcg='exp-log2')@5,0.21399
reference,55,nDCG@5,1.0
reference,55,nDCG(dcg='exp-log2')@5,1.0
reference,56,nDCG@5,1.0
reference,56,nDCG(dcg='exp-log2')@5,1.0
reference,57,nDCG@5,0.8687949224876582
reference,57,nDCG(dcg='exp-log2')@5,0.86879
reference,58,nDCG@5,0.5919819915518812
reference,58,nDCG(dcg='exp-log2')@5,0.60617
reference,59,nDCG@5,0.7426142775581612
reference,59,nDCG(dcg='exp-log2')@5,0.65682
reference,60,nDCG@5,0.0
reference,60,nDCG(dcg='exp-log2')@5,0.0
reference,61,nDCG@5,0.6386367136775242
reference,61,nDCG(dcg='exp-log2')@5,0.51818
reference,62,nDCG@5,0.8687949224876582
reference,62,nDCG(dcg='exp-log2')@5,0.86879
reference,63,nDCG@5,0.650392590074575
reference,63,nDCG(dcg='exp-log2')@5,0.53386
reference,64,nDCG@5,1.0
reference,64,nDCG(dcg='exp-log2')@5,1.0
reference,65,nDCG@5,0.09404673201358822
reference,65,nDCG(dcg='exp-log2')@5,0.06935
reference,66,nDCG@5,0.6992148198508501
reference,66,nDCG(dcg='exp-log2')@5,0.69921
reference,67,nDCG@5,0.4808124874377669
reference,67,nDCG(dcg='exp-log2')@5,0.4208
reference,68,nDCG@5,0.6463818545446909
reference,68,nDCG(dcg='exp-log2')@5,0.56514
reference,69,nDCG@5,1.0
reference,69,nDCG(dcg='exp-log2')@5,1.0
reference,70,nDCG@5,0.6917831836856677
reference,70,nDCG(dcg='exp-log2')@5,0.58904
reference,71,nDCG@5,0.5074316361651824
reference,71,nDCG(dcg='exp-log2')@5,0.38698
reference,72,nDCG@5,1.0
reference,72,nDCG(dcg='exp-log2')@5,1.0
reference,73,nDCG@5,0.5773584151532217
reference,73,nDCG(dcg='exp-log2')@5,0.48517
reference,74,nDCG@5,0.934397461243829
reference,74,nDCG(dcg='exp-log2')@5,0.91253
reference,75,nDCG@5,0.3229882611980096
reference,75,nDCG(dcg='exp-log2')@5,0.25906
reference,76,nDCG@5,1.0
reference,76,nDCG(dcg='exp-log2')@5,1.0
reference,77,nDCG@5,0.27727342735504823
reference,77,nDCG(dcg='exp-log2')@5,0.27727
reference,78,nDCG@5,0.14606834984270645
reference,78,nDCG(dcg='exp-log2')@5,0.14607
reference,79,nDCG@5,0.6917831836856677
reference,79,nDCG(dcg='exp-log2')@5,0.58904
reference,80,nDCG@5,0.7860137352654724
reference,80,nDCG(dcg='exp-log2')@5,0.78601
reference,81,nDCG@5,1.0
reference,81,nDCG(dcg='exp-log2')@5,1.0
reference,82,nDCG@5,0.319972692711383
reference,82,nDCG(dcg='exp-log2')@5,0.21332
reference,83,nDCG@5,1.0
reference,83,nDCG(dcg='exp-log2')@5,1.0
reference,84,nDCG@5,1.0
reference,84,nDCG(dcg='exp-log2')@5,1.0
reference,85,nDCG@5,0.8613632863224759
reference,85,nDCG(dcg='exp-log2')@5,0.81515
reference,86,nDCG@5,1.0
reference,86,nDCG(dcg='exp-log2')@5,1.0
reference,87,nDCG@5,0.2765732350040718
reference,87,nDCG(dcg='exp-log2')@5,0.18438
reference,88,nDCG@5,0.6578242262397573
reference,88,nDCG(dcg='exp-log2')@5,0.60029
reference,89,nDCG@5,0.6039775638806372
reference,89,nDCG(dcg='exp-log2')@5,0.51571
reference,90,nDCG@5,0.3082168163143322
reference,90,nDCG(dcg='exp-log2')@5,0.262
reference,91,nDCG@5,0.8539316501572937
reference,91,nDCG(dcg='exp-log2')@5,0.85393
reference,92,nDCG@5,0.3972490808392076
reference,92,nDCG(dcg='exp-log2')@5,0.27985
reference,93,nDCG@5,0.44615333764087994
reference,93,nDCG(dcg='exp-log2')@5,0.35396
reference,94,nDCG@5,0.9269658250786468
reference,94,nDCG(dcg='exp-log2')@5,0.90262
reference,95,nDCG@5,1.0
reference,95,nDCG(dcg='exp-log2')@5,1.0
reference,96,nDCG@5,0.3718104909742848
reference,96,nDCG(dcg='exp-log2')@5,0.3192
reference,97,nDCG@5,0.5
reference,97,nDCG(dcg='exp-log2')@5,0.33333
reference,98,nDCG@5,1.0
reference,98,nDCG(dcg='exp-log2')@5,1.0
reference,99,nDCG@5,1.0
reference,99,nDCG(dcg='exp-log2')@5,1.0
