Tag,Topic,nDCG@5
luke-skywalker,100,0.3937481555797838
luke-skywalker,99,1.0
luke-skywalker,98,1.0
luke-skywalker,97,0.5
luke-skywalker,96,0.3718104909742848
luke-skywalker,95,1.0
luke-skywalker,94,0.9269658250786468
luke-skywalker,93,0.44615333764087994
luke-skywalker,92,0.4406226719344102
luke-skywalker,91,0.8687949224876582
luke-skywalker,90,0.3082168163143322
luke-skywalker,89,0.6039775638806372
luke-skywalker,88,0.6578242262397573
luke-skywalker,87,0.2765732350040718
luke-skywalker,86,1.0
luke-skywalker,85,0.8613632863224759
luke-skywalker,84,1.0
luke-skywalker,83,1.0
luke-skywalker,82,0.319972692711383
luke-skywalker,81,1.0
luke-skywalker,80,0.7860137352654724
luke-skywalker,79,0.6917831836856677
luke-skywalker,78,0.16958010263680806
luke-skywalker,77,0.27727342735504823
luke-skywalker,76,1.0
luke-skywalker,75,0.3229882611980096
luke-skywalker,74,0.934397461243829
luke-skywalker,73,0.5773584151532217
luke-skywalker,72,1.0
luke-skywalker,71,0.5074316361651824
luke-skywalker,70,0.6917831836856677
luke-skywalker,69,1.0
luke-skywalker,68,0.6463818545446909
luke-skywalker,67,0.4808124874377669
luke-skywalker,66,0.6992148198508501
luke-skywalker,65,0.09404673201358822
luke-skywalker,64,1.0
luke-skywalker,63,0.650392590074575
luke-skywalker,62,0.8687949224876582
luke-skywalker,61,0.6386367136775242
luke-skywalker,60,0.0
luke-skywalker,59,0.7426142775581612
luke-skywalker,58,0.5919819915518812
luke-skywalker,57,0.8687949224876582
luke-skywalker,56,1.0
luke-skywalker,55,1.0
luke-skywalker,54,0.21398626473452756
luke-skywalker,53,0.4785372057762079
luke-skywalker,52,0.8613632863224759
luke-skywalker,51,0.27727342735504823
