Tag,Topic,nDCG@4
uh-t1-deadpool,100,0.26890779092706835
uh-t1-deadpool,99,1.0
uh-t1-deadpool,98,0.876848805629635
uh-t1-deadpool,97,0.5
uh-t1-deadpool,96,0.5840637681355588
uh-t1-deadpool,95,1.0
uh-t1-deadpool,94,0.876848805629635
uh-t1-deadpool,93,0.5390874262348062
uh-t1-deadpool,92,0.34124370925347763
uh-t1-deadpool,91,0.8318724637288826
uh-t1-deadpool,90,0.20721496250592375
uh-t1-deadpool,89,0.38887374313950784
uh-t1-deadpool,88,0.6696338431237112
uh-t1-deadpool,87,0.29278503749407625
uh-t1-deadpool,86,0.6366824387328317
uh-t1-deadpool,85,0.8048099750039491
uh-t1-deadpool,84,1.0
uh-t1-deadpool,83,1.0
uh-t1-deadpool,82,0.376848805629635
uh-t1-deadpool,81,1.0
uh-t1-deadpool,80,0.8048099750039491
uh-t1-deadpool,79,0.9024049875019746
uh-t1-deadpool,78,0.0
uh-t1-deadpool,77,0.0
uh-t1-deadpool,76,1.0
uh-t1-deadpool,75,0.376848805629635
uh-t1-deadpool,74,1.0
uh-t1-deadpool,73,0.31834121936641585
uh-t1-deadpool,72,1.0
uh-t1-deadpool,71,0.6816587806335842
uh-t1-deadpool,70,0.5975950124980254
uh-t1-deadpool,69,1.0
uh-t1-deadpool,68,0.5135312443624667
uh-t1-deadpool,67,0.7927850374940763
uh-t1-deadpool,66,0.8048099750039491
uh-t1-deadpool,65,0.0
uh-t1-deadpool,64,1.0
uh-t1-deadpool,63,0.7927850374940763
uh-t1-deadpool,62,0.9024049875019746
uh-t1-deadpool,61,0.31834121936641585
uh-t1-deadpool,60,0.0
uh-t1-deadpool,59,0.5135312443624667
uh-t1-deadpool,58,0.3903800499921017
uh-t1-deadpool,57,0.6366824387328317
uh-t1-deadpool,56,0.6366824387328317
uh-t1-deadpool,55,0.6366824387328317
uh-t1-deadpool,54,0.0
uh-t1-deadpool,53,0.26890779092706835
uh-t1-deadpool,52,0.6366824387328317
uh-t1-deadpool,51,0.0
